                        x                    pi(x)      Delta(x)
                        1.218                    0     +0.6186861707202110616591286694763044667390
                        1.219                    0     +0.6171491163186322150641118697258171381254
                        1.220                    0     +0.6156136936793678040299866613155535347470
                        1.221                    0     +0.6140798993346800012693973686509723262979
                        1.222                    0     +0.6125477298272374990857774565497121480058
                        1.223                    0     +0.6110171817100756092932645051667081876933
                        1.224                    0     +0.6094882515465565487882044230122986283681
                        1.225                    0     +0.6079609359103299097575236609427494228598
                        1.226                    0     +0.6064352313852933135156161759697254493798
                        1.227                    0     +0.6049111345655532469677147709504321221770
                        1.228                    0     +0.6033886420553860807039945606091826023596
                        1.229                    0     +0.6018677504691992677348900387346540357226
                        1.230                    0     +0.6003484564314927218842968955600316949673
                        1.231                    0     +0.5988307565768203748634757049939615284039
                        1.232                    0     +0.5973146475497519110545772122493091232600
                        1.233                    0     +0.5958001260048346790387685442554422662860
                        1.234                    0     +0.5942871886065557789099565758283293818563
                        1.235                    0     +0.5927758320293043244210792487782425118067
                        1.236                    0     +0.5912660529573338790158681909288237488112
                        1.237                    0     +0.5897578480847250648048768465071106722130
                        1.238                    0     +0.5882512141153483435504178348041243358710
                        1.239                    0     +0.5867461477628269687308617238478155004036
                        1.240                    0     +0.5852426457505001077605171607347829429779
                        1.241                    0     +0.5837407048113861334470396581329429594942
                        1.242                    0     +0.5822403216881460837740036124574241606155
                        1.243                    0     +0.5807414931330472891019196357897473476989
                        1.244                    0     +0.5792442159079271658865873305248208582652
                        1.245                    0     +0.5777484867841571760192425301012602127437
                        1.246                    0     +0.5762543025426069508984880754736177834076
                        1.247                    0     +0.5747616599736085793494886970863271645874
                        1.248                    0     +0.5732705558769210585113638252894590247810
                        1.249                    0     +0.5717809870616949068191274551157552953971
                        1.250                    0     +0.5702929503464369382119018382998760632371
                        1.251                    0     +0.5688064425589751967044720580340907316068
                        1.252                    0     +0.5673214605364240504645517493996749880107
                        1.253                    0     +0.5658380011251494445433966474033323962247
                        1.254                    0     +0.5643560611807343114126325593527157180235
                        1.255                    0     +0.5628756375679441384653580507733806521283
                        1.256                    0     +0.5613967271606926916447398836517200656301
                        1.257                    0     +0.5599193268420078943684413295590070783951
                        1.258                    0     +0.5584434335039978609223101728910497689102
                        1.259                    0     +0.5569690440478170835018047934344293463302
                        1.260                    0     +0.5554961553836327720846534428216584828716
                        1.261                    0     +0.5540247644305913463232239739525704628769
                        1.262                    0     +0.5525548681167850786500291116586549268299
                        1.263                    0     +0.5510864633792188877947061300448066243538
                        1.264                    0     +0.5496195471637772819156897881068294326088
                        1.265                    0     +0.5481541164251914505546438292352487183357
                        1.266                    0     +0.5466901681270065046265295287335294776429
                        1.267                    0     +0.5452276992415488636629699309936178012347
                        1.268                    0     +0.5437667067498937895313158068306582493691
                        1.269                    0     +0.5423071876418330658565342319032796182360
                        1.270                    0     +0.5408491389158428223777232872516835866998
                        1.271                    0     +0.5393925575790515034757069588021807796262
                        1.272                    0     +0.5379374406472079801127831081757997834293
                        1.273                    0     +0.5364837851446498044302846442138638016884
                        1.274                    0     +0.5350315881042716062541699831792067968547
                        1.275                    0     +0.5335808465674936307633837834813100824739
                        1.276                    0     +0.5321315575842304165802230138879260023243
                        1.277                    0     +0.5306837182128596135464068964313163989736
                        1.278                    0     +0.5292373255201909394529823885444757595303
                        1.279                    0     +0.5277923765814352749965998633837184423696
                        1.280                    0     +0.5263488684801738962390667409002494143594
